customer_key,customer_id,account_type,avg_trade_size_baseline
1,1,Retail,216.91989951513
2,2,Retail,71.93669185399486
3,3,Retail,178.90604751249103
4,4,Retail,214.29156695982
5,5,Retail,170.59039243809966
6,6,Retail,159.83987248303276
7,7,Retail,202.59786042737284
8,8,Retail,88.443794899421
9,9,Retail,89.88803508384729
10,10,Retail,155.4088699667899
11,11,Retail,198.7848003444786
12,12,Retail,151.12734670544214
13,13,Retail,215.86877613571224
14,14,Retail,80.12241568601549
15,15,Retail,188.65832851438836
16,16,Retail,206.90745668521308
17,17,Retail,116.86043163143636
18,18,Retail,213.1568548118194
19,19,Retail,76.38657168200426
20,20,Retail,211.51010798729615
21,21,Retail,202.50545070202344
22,22,Retail,51.90625698929618
23,23,Retail,133.83968944403856
24,24,Retail,135.19102926947028
25,25,Retail,50.25521684196892
26,26,Retail,47.115608819346285
27,27,Retail,40.917420546617365
28,28,Retail,134.41159181540172
29,29,Retail,123.48680871444988
30,30,Retail,209.2828348401504
31,31,Institutional,101.61513685445816
32,32,Institutional,158.4809311956431
33,33,Retail,41.36141463530933
34,34,Retail,159.43692024404143
35,35,Retail,204.4228043248441
36,36,Retail,103.8582321997104
37,37,Retail,96.5302783210526
38,38,Retail,152.685375677059
39,39,Retail,99.13937178234752
40,40,Retail,112.435307585772
41,41,Retail,89.16097735539171
42,42,Retail,102.0800571302084
43,43,Retail,162.29391023760297
44,44,Retail,206.02753355671325
45,45,Institutional,144.96078562887402
46,46,Retail,41.806020807099344
47,47,Retail,87.5006611237774
48,48,Retail,211.4029351574409
49,49,Retail,203.85791748941853
50,50,Retail,60.81650312809938
51,51,Retail,203.51507135211895
52,52,Retail,213.61522414700565
53,53,Institutional,98.42294123686116
54,54,Institutional,166.18122569258816
55,55,Retail,140.79683479245335
56,56,Institutional,100.6689385391402
57,57,Retail,67.60044056533361
58,58,Retail,106.04564033898043
59,59,Retail,207.00338285893224
60,60,Retail,186.02470760320236
61,61,Retail,99.5214155157228
62,62,Institutional,138.5815633619476
63,63,Retail,113.07310216772466
64,64,Institutional,123.922812638706
65,65,Retail,177.0179234809903
66,66,Retail,137.74111617115489
67,67,Retail,72.58800341412248
68,68,Institutional,88.42641300481702
69,69,Retail,142.20289513796843
70,70,Retail,164.70752078725593
71,71,Retail,131.46167692886422
72,72,Retail,151.6378958214151
73,73,Retail,182.0878512835864
74,74,Retail,138.17054491745114
75,75,Retail,215.89446100941387
76,76,Retail,82.40235732449023
77,77,Retail,205.54388507020963
78,78,Retail,84.5787630635244
79,79,Institutional,135.6960237580663
80,80,Retail,122.06321874446976
81,81,Retail,107.11898844149287
82,82,Retail,213.2922403481484
83,83,Institutional,89.01428095587823
84,84,Retail,161.47643878175109
85,85,Retail,184.73234296230575
86,86,Institutional,75.46123220968626
87,87,Retail,215.1675267529957
88,88,Retail,138.3952856270439
89,89,Retail,204.6083190903502
90,90,Retail,159.4985907394913
91,91,Retail,156.89683313981905
92,92,Retail,102.20549606323296
93,93,Retail,178.70622581669582
94,94,Retail,45.36153709597798
95,95,Retail,140.0476867815578
96,96,Retail,45.78503137661825
97,97,Retail,95.236937100188
98,98,Retail,57.3332404380682
99,99,Retail,204.0863851031994
100,100,Retail,153.08686597699375
101,101,Retail,160.33191103734953
102,102,Institutional,193.2031163723912
103,103,Retail,171.94584554724202
104,104,Retail,62.35520370652468
105,105,Retail,151.15689998672036
106,106,Retail,216.07073147073476
107,107,Retail,78.54086036680854
108,108,Retail,151.5485076014471
109,109,Retail,141.45057654183978
110,110,Institutional,110.49628824306586
111,111,Retail,211.83436905982387
112,112,Retail,104.15206941070112
113,113,Retail,56.86247968352112
114,114,Retail,213.25773708294352
115,115,Retail,171.25963722677767
116,116,Retail,101.64097761128116
117,117,Retail,90.49209251614856
118,118,Retail,207.0447996298108
119,119,Retail,89.2389956728351
120,120,Retail,136.6883810853342
121,121,Retail,78.69191281716815
122,122,Retail,219.13863050473284
123,123,Retail,178.51154552890043
124,124,Retail,142.1742892276679
125,125,Retail,174.248760852906
126,126,Retail,204.94623398814784
127,127,Retail,213.362354995706
128,128,Institutional,181.48339919658247
129,129,Retail,192.83187429998077
130,130,Retail,111.60290642555148
131,131,Retail,110.52813913113394
132,132,Retail,185.4933974938646
133,133,Retail,176.7325249953539
134,134,Retail,202.1767066517916
135,135,Retail,63.94174494939534
136,136,Retail,164.3463613645959
137,137,Retail,156.57668208549651
138,138,Retail,183.733571263636
139,139,Retail,44.419429283172185
140,140,Retail,188.72544021983543
141,141,Institutional,98.7567975901388
142,142,Retail,163.68198358361295
143,143,Retail,150.98072288314063
144,144,Retail,119.23569774931389
145,145,Retail,174.28495610053525
146,146,Retail,213.0194074747919
147,147,Retail,98.2254963859389
148,148,Retail,174.71845897044946
149,149,Institutional,96.6166680718328
150,150,Retail,192.21756525689483
151,151,Institutional,118.70916986009684
152,152,Retail,120.86783213101675
153,153,Institutional,178.9385046045673
154,154,Retail,129.3105459058743
155,155,Institutional,87.99603122936118
156,156,Retail,219.19664806049647
157,157,Retail,151.6405707247044
158,158,Retail,156.12692021468115
159,159,Retail,156.38474521079638
160,160,Retail,199.0046318956716
161,161,Retail,73.09696101732462
162,162,Retail,50.64727093141661
163,163,Institutional,109.60609213209288
164,164,Retail,141.68293249152427
165,165,Institutional,91.42773181175376
166,166,Institutional,164.05726080841777
167,167,Retail,53.30487620871092
168,168,Retail,182.32770479502597
169,169,Retail,169.2554835458195
170,170,Retail,78.5100616913484
171,171,Retail,93.7217629491048
172,172,Retail,185.2603680709373
173,173,Retail,179.2008117432594
174,174,Retail,186.47790832010676
175,175,Retail,98.0037120805263
176,176,Retail,214.52281302519904
177,177,Institutional,168.76088128731482
178,178,Retail,51.73614173141585
179,179,Retail,125.99227372196994
180,180,Retail,159.61846818506842
181,181,Retail,70.35703462246457
182,182,Retail,202.31840679877135
183,183,Retail,175.73956620707798
184,184,Retail,54.65771819197041
185,185,Institutional,204.37565948425603
186,186,Institutional,112.78654241970226
187,187,Retail,121.44450596230897
188,188,Retail,180.95946887680407
189,189,Retail,155.9195830120339
190,190,Retail,118.75516514419824
191,191,Retail,86.73243837783804
192,192,Retail,133.04123175456843
