transaction_id,timestamp,customer_id,stock_ticker,transaction_type,quantity,average_trade_size,stock_price,total_trade_amount,customer_account_type,day_name,is_weekend,is_holiday,stock_liquidity_tier,stock_sector,stock_industry
6253,2024-03-14,1006,STK006,BUY,477,254.21,4.271827065912972,34178.209019426555,Retail,Thursday,False,False,High,Energy,Oil & Gas
4685,2023-12-04,4955,STK006,SELL,137,207.79,4.547960280058946,12938.222655621128,Retail,Monday,False,False,High,Energy,Oil & Gas
1732,2023-05-04,696,STK012,BUY,155,155.0,3.029753828567149,3207.281413105151,Retail,Thursday,False,False,High,Technology,Hardware
4743,2023-12-06,4955,STK013,SELL,12,208.4,4.854781183382951,1540.2312295131524,Retail,Wednesday,False,False,Mid,Energy,Utilities
4522,2023-11-22,1816,STK018,SELL,91,173.12,5.448904544433301,21157.802964999253,Retail,Wednesday,False,False,Mid,Technology,Software
6341,2024-03-20,1899,STK009,BUY,1509,254.21,6.116088136888903,683711.0020213233,Retail,Wednesday,False,False,High,Technology,Hardware
577,2023-02-08,3588,STK005,BUY,106,169.53,5.236661690658229,19932.3792172623,Retail,Wednesday,False,False,Low,Energy,Renewables
5203,2024-01-03,1513,STK010,SELL,372,179.31,5.131409685790732,62963.06351752466,Retail,Wednesday,False,False,High,Consumer,Retail
6364,2024-03-21,3588,STK019,BUY,79,178.61,3.9320771171351945,4030.013358107933,Retail,Thursday,False,False,Mid,Energy,Oil & Gas
440,2023-01-30,182,STK009,BUY,19,254.21,5.44986034087626,4421.787566143963,Retail,Monday,False,True,High,Technology,Hardware
2751,2023-07-20,3588,STK012,BUY,514,165.12,2.856934750463845,8947.755663064876,Retail,Thursday,False,False,High,Technology,Hardware
7488,2024-06-11,4747,STK007,SELL,13,202.27,4.849927353080586,1660.5044330848148,Retail,Tuesday,False,False,Mid,Energy,Oil & Gas
5273,2024-01-08,845,STK006,BUY,689,184.87,4.837167888294677,86890.94966727974,Retail,Monday,False,False,High,Energy,Oil & Gas
5654,2024-01-31,4955,STK001,SELL,52,211.02,4.129180032642896,3230.601918152087,Retail,Wednesday,False,False,Low,Energy,Utilities
4000,2023-10-18,979,STK013,BUY,146,146.0,4.846807564607319,18590.652624562408,Institutional,Wednesday,False,False,Mid,Energy,Utilities
6034,2024-02-28,4519,STK006,SELL,128,204.23,4.463545266585405,11109.718341420998,Institutional,Wednesday,False,False,High,Energy,Oil & Gas
583,2023-02-08,4747,STK006,BUY,87,150.76,4.8830649051118655,11487.020488473216,Retail,Wednesday,False,False,High,Energy,Oil & Gas
9931,2024-12-03,3938,STK006,BUY,59,212.32,3.918497222765049,2969.1609001316106,Retail,Tuesday,False,False,High,Energy,Oil & Gas
7052,2024-05-10,3322,STK008,BUY,249,223.85,4.940021233368563,34803.53112879885,Retail,Friday,False,False,High,Energy,Oil & Gas
8159,2024-07-31,3623,STK018,SELL,12,193.76,4.656122954002847,1262.7278293891325,Institutional,Wednesday,False,False,Mid,Technology,Software
9897,2024-11-29,1956,STK013,BUY,55,139.4,4.573414405799945,5328.087267026018,Retail,Friday,False,False,Mid,Energy,Utilities
2250,2023-06-12,1513,STK017,BUY,81,215.4,4.954395968691775,11485.551387883534,Retail,Monday,False,False,Mid,Healthcare,Pharmaceuticals
4641,2023-11-30,2475,STK006,BUY,91,139.4,4.484163898195188,8062.858334552361,Retail,Thursday,False,False,High,Energy,Oil & Gas
9486,2024-10-31,3938,STK019,SELL,95,210.11,3.680090235823234,3766.747317104554,Retail,Thursday,False,False,Mid,Energy,Oil & Gas
4948,2023-12-19,3779,STK006,BUY,124,139.4,4.572736551740055,12004.275024211654,Institutional,Tuesday,False,False,High,Energy,Oil & Gas
9921,2024-12-02,594,STK010,BUY,265,254.21,5.88328779933624,95131.70941793034,Retail,Monday,False,False,High,Consumer,Retail
1964,2023-05-23,4747,STK009,SELL,128,194.68,5.768740061883144,40977.16854414676,Retail,Tuesday,False,False,High,Technology,Hardware
8244,2024-08-06,3339,STK013,SELL,69,249.15,4.744957929476289,7935.204734473144,Retail,Tuesday,False,False,Mid,Energy,Utilities
6591,2024-04-05,4747,STK020,SELL,37,202.71,3.874203299521322,1781.3400767921576,Retail,Friday,False,False,Mid,Energy,Oil & Gas
8848,2024-09-18,1903,STK009,BUY,236,160.75,6.1309249751321495,108527.2725362044,Retail,Wednesday,False,False,High,Technology,Hardware
322,2023-01-20,193,STK013,BUY,20,166.06,5.108399760891743,3308.109094022376,Retail,Friday,False,False,Mid,Energy,Utilities
2679,2023-07-14,1513,STK006,BUY,44,209.8,4.566482845625425,4233.026409865741,Retail,Friday,False,False,High,Energy,Oil & Gas
4626,2023-11-29,4747,STK009,SELL,77,201.31,5.9094502571331695,28374.77085018965,Retail,Wednesday,False,False,High,Technology,Hardware
4950,2023-12-19,182,STK009,SELL,209,254.21,5.916777301032798,77583.61624352277,Retail,Tuesday,False,False,High,Technology,Hardware
8329,2024-08-13,1771,STK006,BUY,41,254.21,3.7988482694483294,1830.6389467990064,Retail,Tuesday,False,False,High,Energy,Oil & Gas
3338,2023-08-30,1157,STK013,SELL,247,160.59,4.8808776361526265,32541.3208907351,Retail,Wednesday,False,False,Mid,Energy,Utilities
5590,2024-01-25,845,STK018,BUY,19,181.58,5.191919363901218,3416.453634469797,Retail,Thursday,False,False,Mid,Technology,Software
252,2023-01-17,4747,STK018,SELL,26,190.28,4.671639594945652,2778.6935021644194,Retail,Tuesday,False,False,Mid,Technology,Software
3974,2023-10-17,4023,STK004,BUY,177,202.7,4.031864159301264,9976.762240562786,Retail,Tuesday,False,False,Low,Finance,Asset Management
6631,2024-04-10,1494,STK006,BUY,287,254.21,4.089638954757302,17139.159789773126,Retail,Wednesday,False,False,High,Energy,Oil & Gas
5548,2024-01-24,1870,STK008,BUY,48,139.4,5.007776481653195,7179.445944503464,Retail,Wednesday,False,False,High,Energy,Oil & Gas
36,2023-01-03,4747,STK013,BUY,74,212.29,5.062358523685186,11689.235059755883,Retail,Tuesday,False,False,Mid,Energy,Utilities
8363,2024-08-15,3339,STK012,SELL,102,241.8,2.1818067950109388,903.955025223146,Retail,Thursday,False,False,High,Technology,Hardware
1514,2023-04-18,4955,STK010,BUY,190,221.32,4.920441149458415,26041.982378171757,Retail,Tuesday,False,False,High,Consumer,Retail
9318,2024-10-21,1797,STK006,BUY,142,139.4,3.831566327115328,6551.133615458453,Retail,Monday,False,False,High,Energy,Oil & Gas
40,2023-01-03,98,STK020,BUY,29,139.4,4.574328688741672,2811.924824427709,Retail,Tuesday,False,False,Mid,Energy,Oil & Gas
4820,2023-12-11,227,STK018,BUY,60,210.2,5.400345616547658,13288.977069029695,Retail,Monday,False,False,Mid,Technology,Software
3466,2023-09-08,1157,STK003,BUY,46,159.17,2.8191618051426515,771.0885375239488,Retail,Friday,False,False,Low,Technology,Software
1761,2023-05-08,1513,STK009,SELL,42,234.33,5.760784663674983,13339.092410475165,Retail,Monday,False,False,High,Technology,Hardware
2305,2023-06-15,1513,STK006,SELL,637,214.43,4.766846904315253,74878.08674579053,Retail,Thursday,False,False,High,Energy,Oil & Gas
3724,2023-09-27,4747,STK006,BUY,1018,205.24,4.766397311271789,119610.09321674387,Retail,Wednesday,False,False,High,Energy,Oil & Gas
8285,2024-08-08,280,STK012,BUY,282,252.29,2.1960090554171656,2534.916879549292,Institutional,Thursday,False,False,High,Technology,Hardware
4994,2023-12-21,4747,STK006,SELL,80,206.96,4.545184584177066,7534.224747084725,Retail,Thursday,False,False,High,Energy,Oil & Gas
8128,2024-07-29,1903,STK006,BUY,386,150.0,3.875322687075438,18604.52401129528,Retail,Monday,False,True,High,Energy,Oil & Gas
3033,2023-08-09,1797,STK011,BUY,59,139.4,4.384405290718476,4731.240620014902,Retail,Wednesday,False,False,Mid,Finance,Asset Management
7939,2024-07-12,2741,STK017,BUY,558,254.21,5.030623476859091,85389.84308225007,Retail,Friday,False,False,Mid,Healthcare,Pharmaceuticals
3040,2023-08-10,3129,STK006,SELL,535,254.21,4.621384530718077,54374.53831596602,Institutional,Thursday,False,False,High,Energy,Oil & Gas
9656,2024-11-14,2317,STK013,SELL,48,139.4,4.55023926608059,4543.442560768545,Institutional,Thursday,False,False,Mid,Energy,Utilities
2546,2023-07-04,3087,STK018,SELL,127,139.4,5.101867447409575,20869.718962233965,Retail,Tuesday,False,False,Mid,Technology,Software
2593,2023-07-07,3032,STK009,BUY,1104,254.21,5.858241144978485,386519.0258557532,Retail,Friday,False,False,High,Technology,Hardware
1189,2023-03-27,4747,STK006,BUY,1147,205.7,4.883012519096185,151435.88851165856,Retail,Monday,False,False,High,Energy,Oil & Gas
7967,2024-07-16,3588,STK010,BUY,197,186.15,5.328254240919853,40597.34582392209,Retail,Tuesday,False,False,High,Consumer,Retail
6078,2024-03-01,3961,STK013,BUY,263,254.21,4.780452728824796,31338.628751200133,Retail,Friday,False,False,Mid,Energy,Utilities
108,2023-01-06,4747,STK013,SELL,117,186.38,5.072794558651832,18675.51326045511,Retail,Friday,False,False,Mid,Energy,Utilities
1316,2023-04-04,4955,STK020,BUY,85,217.66,4.237828740556961,5886.871594268347,Retail,Tuesday,False,False,Mid,Energy,Oil & Gas
8188,2024-08-02,4046,STK006,BUY,139,139.4,3.8165467243918063,6317.132447551016,Retail,Friday,False,False,High,Energy,Oil & Gas
2754,2023-07-20,4987,STK018,BUY,36,139.4,5.242872792880262,6811.664105522059,Retail,Thursday,False,False,Mid,Technology,Software
9754,2024-11-22,1636,STK006,BUY,130,139.4,3.915660524285554,6523.6869272775975,Retail,Friday,False,False,High,Energy,Oil & Gas
6232,2024-03-13,1185,STK006,BUY,544,254.21,4.310560716509656,40518.338916768975,Institutional,Wednesday,False,False,High,Energy,Oil & Gas
2877,2023-07-28,4776,STK006,BUY,156,163.0,4.571605749069248,15085.08454752297,Retail,Friday,False,False,High,Energy,Oil & Gas
5324,2024-01-10,1647,STK012,BUY,1676,254.21,2.412820745829316,18713.229766989192,Institutional,Wednesday,False,False,High,Technology,Hardware
800,2023-02-24,4747,STK018,SELL,356,168.65,4.94842166992897,50179.02555704571,Retail,Friday,False,False,Mid,Technology,Software
3571,2023-09-15,4955,STK009,BUY,119,206.1,5.803317777399807,39436.27158942691,Retail,Friday,False,False,High,Technology,Hardware
2895,2023-07-28,3405,STK018,BUY,91,139.4,5.191957827249414,16363.644164057478,Retail,Friday,False,False,Mid,Technology,Software
2928,2023-08-01,4747,STK013,BUY,68,189.6,4.9743058670093,9836.09018521539,Retail,Tuesday,False,False,Mid,Energy,Utilities
8179,2024-08-01,1157,STK013,BUY,157,199.32,4.747069181118665,18093.625745426565,Retail,Thursday,False,False,Mid,Energy,Utilities
972,2023-03-09,4747,STK017,BUY,166,167.99,5.118792425141577,27744.147984611547,Retail,Thursday,False,False,Mid,Healthcare,Pharmaceuticals
6688,2024-04-15,1166,STK006,BUY,1285,254.21,4.041217203590059,73110.78707959352,Retail,Monday,False,False,High,Energy,Oil & Gas
8576,2024-08-30,1494,STK006,SELL,164,254.21,3.786378231394036,7231.810214171749,Retail,Friday,False,False,High,Energy,Oil & Gas
2021,2023-05-26,3588,STK012,BUY,213,177.16,2.897982564166925,3863.291154504108,Retail,Friday,False,False,High,Technology,Hardware
9055,2024-10-02,4747,STK012,SELL,82,202.6,2.0228054104140067,619.8792231415337,Retail,Wednesday,False,False,High,Technology,Hardware
953,2023-03-08,845,STK018,BUY,27,139.4,4.982788243463794,3938.77527266334,Retail,Wednesday,False,False,Mid,Technology,Software
