date,stock_ticker,stock_price
2023-01-02,STK001,130.21525696223418
2023-01-02,STK002,143.73284741052294
2023-01-02,STK003,10.829021233558729
2023-01-02,STK004,41.72108686196776
2023-01-02,STK005,145.47874962052057
2023-01-02,STK006,136.61322857985922
2023-01-02,STK007,193.54902597444868
2023-01-02,STK008,154.59718014764877
2023-01-02,STK009,190.64681446895423
2023-01-02,STK010,143.4826952916133
2023-01-02,STK011,66.6299196414942
2023-01-02,STK012,30.01933522766273
2023-01-02,STK013,158.54653403553775
2023-01-02,STK014,132.38835208042403
2023-01-02,STK015,19.155342354726283
2023-01-02,STK016,78.40958852118588
2023-01-02,STK017,191.7919649420144
2023-01-02,STK018,105.07621768493824
2023-01-02,STK019,92.21853584374388
2023-01-02,STK020,96.96292498026584
2023-01-03,STK001,127.9319817488287
2023-01-03,STK002,141.81110286869625
2023-01-03,STK003,10.840378229891192
2023-01-03,STK004,42.37220490795065
2023-01-03,STK005,150.4511710082361
2023-01-03,STK006,131.08143877163977
2023-01-03,STK007,189.43349806174072
2023-01-03,STK008,156.24587012268233
2023-01-03,STK009,188.6422598715461
2023-01-03,STK010,145.60217400536496
2023-01-03,STK011,67.4039672755468
2023-01-03,STK012,30.01933522766273
2023-01-03,STK013,157.96263594264707
2023-01-03,STK014,132.31677688165132
2023-01-03,STK015,19.495879102006256
2023-01-03,STK016,81.27870643689258
2023-01-03,STK017,196.5193482257876
2023-01-03,STK018,105.14362866951058
2023-01-03,STK019,93.32452307993567
2023-01-03,STK020,96.96292498026584
2023-01-04,STK001,126.53133759945932
2023-01-04,STK002,139.81479593177795
2023-01-04,STK003,10.824561333070738
2023-01-04,STK004,43.27395635593913
2023-01-04,STK005,150.12185484905382
2023-01-04,STK006,132.287592694745
2023-01-04,STK007,185.19257097261692
2023-01-04,STK008,153.5687720563006
2023-01-04,STK009,199.05491264864767
2023-01-04,STK010,144.473237172213
2023-01-04,STK011,65.54159966888932
2023-01-04,STK012,28.336210512820003
2023-01-04,STK013,157.0222345438498
2023-01-04,STK014,128.55468606011004
2023-01-04,STK015,19.489534407997315
2023-01-04,STK016,79.56589945219858
2023-01-04,STK017,195.19208860211785
2023-01-04,STK018,106.0842486565153
2023-01-04,STK019,93.99618400690856
2023-01-04,STK020,96.03492070377034
2023-01-05,STK001,127.83768705403634
2023-01-05,STK002,140.88531109636213
2023-01-05,STK003,10.874388402093755
2023-01-05,STK004,43.30733100228811
2023-01-05,STK005,154.26400045739072
2023-01-05,STK006,127.53432227053275
2023-01-05,STK007,189.0233412726004
2023-01-05,STK008,155.64289083995064
2023-01-05,STK009,199.05491264864767
2023-01-05,STK010,148.68251840142676
2023-01-05,STK011,66.55860307692497
2023-01-05,STK012,27.706729626787496
2023-01-05,STK013,154.66045973053974
2023-01-05,STK014,120.78827161161728
2023-01-05,STK015,18.98902434701948
2023-01-05,STK016,83.37529678465386
2023-01-05,STK017,193.49771082279577
2023-01-05,STK018,104.3115904006844
2023-01-05,STK019,92.68702380094106
2023-01-05,STK020,96.28180973750663
2023-01-06,STK001,127.14084247759364
2023-01-06,STK002,143.10399325162652
2023-01-06,STK003,11.212465920917827
2023-01-06,STK004,46.389494000786335
2023-01-06,STK005,151.4344686654147
2023-01-06,STK006,125.3567361879294
2023-01-06,STK007,185.2906554485485
2023-01-06,STK008,155.9429390870041
2023-01-06,STK009,203.06815451428216
2023-01-06,STK010,152.41768370661663
2023-01-06,STK011,67.33973175885812
2023-01-06,STK012,27.283299029964628
2023-01-06,STK013,159.6197714568813
2023-01-06,STK014,112.1317958369126
2023-01-06,STK015,18.700642854081043
2023-01-06,STK016,80.44342440034522
2023-01-06,STK017,189.78715539435424
2023-01-06,STK018,109.664183516836
2023-01-06,STK019,88.46344792890808
2023-01-06,STK020,97.10375741098042
2023-01-09,STK001,123.36773027805906
2023-01-09,STK002,140.31932510473342
2023-01-09,STK003,11.316832167907863
2023-01-09,STK004,41.09450554053896
2023-01-09,STK005,150.96186667615893
2023-01-09,STK006,130.11487969859573
2023-01-09,STK007,184.9687529709984
2023-01-09,STK008,154.96590461180088
2023-01-09,STK009,205.01424716573064
2023-01-09,STK010,157.72224745480213
2023-01-09,STK011,67.49670823305073
2023-01-09,STK012,27.283299029964628
2023-01-09,STK013,157.1485046595915
2023-01-09,STK014,110.66089912700114
2023-01-09,STK015,18.928105046905504
2023-01-09,STK016,85.91852991339351
2023-01-09,STK017,190.52674251944427
2023-01-09,STK018,106.83663334478032
2023-01-09,STK019,88.0300313663659
2023-01-09,STK020,96.61374041742008
2023-01-10,STK001,126.7374442743415
2023-01-10,STK002,139.51523177378016
2023-01-10,STK003,11.25341586631555
2023-01-10,STK004,43.56686279304298
2023-01-10,STK005,144.74203631907284
2023-01-10,STK006,139.25019189397148
2023-01-10,STK007,182.5113264302996
2023-01-10,STK008,157.69878333870227
2023-01-10,STK009,213.95130546605893
2023-01-10,STK010,156.29882551725413
2023-01-10,STK011,67.08875220457747
2023-01-10,STK012,26.319029939352017
2023-01-10,STK013,157.3095999446524
2023-01-10,STK014,107.4695079917364
2023-01-10,STK015,19.3951706351492
2023-01-10,STK016,80.79837738007575
2023-01-10,STK017,188.4628799464508
2023-01-10,STK018,105.76163102127616
2023-01-10,STK019,87.87747151381357
2023-01-10,STK020,98.42838759401576
2023-01-11,STK001,131.82054088697305
2023-01-11,STK002,138.93248099280862
2023-01-11,STK003,11.287117349854295
2023-01-11,STK004,43.90752078515855
2023-01-11,STK005,143.763443814039
2023-01-11,STK006,136.69626727093512
2023-01-11,STK007,181.55383593554052
2023-01-11,STK008,157.36399186706305
2023-01-11,STK009,227.6605453106588
2023-01-11,STK010,159.89398130324346
2023-01-11,STK011,66.66332282170325
2023-01-11,STK012,26.319029939352017
2023-01-11,STK013,156.9350199495176
2023-01-11,STK014,116.48660878477862
2023-01-11,STK015,19.72695285416587
2023-01-11,STK016,76.83960298510507
2023-01-11,STK017,188.84917145900096
2023-01-11,STK018,104.9955738233964
2023-01-11,STK019,86.06941844426726
2023-01-11,STK020,100.23311554858704
2023-01-12,STK001,131.03999374657985
2023-01-12,STK002,141.0400852813932
2023-01-12,STK003,11.138508628632827
2023-01-12,STK004,43.06046617595592
2023-01-12,STK005,132.34906277189916
2023-01-12,STK006,141.46921865197703
2023-01-12,STK007,180.89595782513663
2023-01-12,STK008,155.58773547424082
2023-01-12,STK009,224.4396040197656
2023-01-12,STK010,160.13590493701125
2023-01-12,STK011,67.08647160155029
2023-01-12,STK012,26.09954751880537
2023-01-12,STK013,155.04944150007293
2023-01-12,STK014,113.36789330802712
2023-01-12,STK015,20.135712872663337
2023-01-12,STK016,78.62197579457164
2023-01-12,STK017,189.0882261771493
2023-01-12,STK018,100.86255093492294
2023-01-12,STK019,86.26114451652649
2023-01-12,STK020,99.93354007425796
2023-01-13,STK001,138.19284116827984
2023-01-13,STK002,139.5386029136816
2023-01-13,STK003,12.12459213489986
2023-01-13,STK004,45.00289477510622
2023-01-13,STK005,130.57047236030374
2023-01-13,STK006,144.5340813187369
2023-01-13,STK007,175.26040294694255
2023-01-13,STK008,156.44350322205602
2023-01-13,STK009,225.49710529166907
2023-01-13,STK010,162.35536481525227
2023-01-13,STK011,68.11009904165523
2023-01-13,STK012,26.90588317602436
2023-01-13,STK013,155.90424431990832
2023-01-13,STK014,125.66179416478025
2023-01-13,STK015,20.384400304482845
2023-01-13,STK016,76.2843191780032
2023-01-13,STK017,179.3287146659435
2023-01-13,STK018,102.0747437472951
2023-01-13,STK019,92.25258027009468
2023-01-13,STK020,103.74516077454707
2023-01-16,STK001,146.27116701001734
2023-01-16,STK002,134.55969058203087
2023-01-16,STK003,12.077213152244523
2023-01-16,STK004,44.72925837351095
2023-01-16,STK005,136.97028710567375
2023-01-16,STK006,141.99970167136874
2023-01-16,STK007,178.2118365182677
2023-01-16,STK008,155.69268123993598
2023-01-16,STK009,219.76264058290644
2023-01-16,STK010,157.56721948044148
2023-01-16,STK011,67.42518180004619
2023-01-16,STK012,28.251872498325163
2023-01-16,STK013,163.5387384502081
2023-01-16,STK014,124.89049783779272
2023-01-16,STK015,20.527132329284125
2023-01-16,STK016,80.03843020881273
2023-01-16,STK017,179.8047552145118
2023-01-16,STK018,104.8190463578574
2023-01-16,STK019,96.19679713658292
2023-01-16,STK020,104.11173300820532
2023-01-17,STK001,147.26391351376026
2023-01-17,STK002,138.4468995910762
2023-01-17,STK003,12.24741989648391
2023-01-17,STK004,43.39169385752483
2023-01-17,STK005,130.39444737472738
2023-01-17,STK006,133.89312833496604
2023-01-17,STK007,178.52891793911775
2023-01-17,STK008,158.03657145605595
2023-01-17,STK009,224.6784999022747
2023-01-17,STK010,151.8900267481811
2023-01-17,STK011,68.4459885539136
2023-01-17,STK012,27.028407071883752
2023-01-17,STK013,164.48701236732416
2023-01-17,STK014,119.54130358721326
2023-01-17,STK015,21.075300989966383
2023-01-17,STK016,79.24843393732905
2023-01-17,STK017,181.46452378459887
2023-01-17,STK018,106.87282700632382
